@RELATION power-spectrum

@ATTRIBUTE alpha_Ch1 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE beta_Ch1 NUMERIC
@ATTRIBUTE beta_Ch2 NUMERIC
@ATTRIBUTE beta_Ch3 NUMERIC
@ATTRIBUTE beta_Ch4 NUMERIC
@ATTRIBUTE delta_Ch1 NUMERIC
@ATTRIBUTE delta_Ch2 NUMERIC
@ATTRIBUTE delta_Ch3 NUMERIC
@ATTRIBUTE delta_Ch4 NUMERIC
@ATTRIBUTE gamma_Ch1 NUMERIC
@ATTRIBUTE gamma_Ch2 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE theta_Ch1 NUMERIC
@ATTRIBUTE theta_Ch2 NUMERIC
@ATTRIBUTE theta_Ch3 NUMERIC
@ATTRIBUTE theta_Ch4 NUMERIC
@ATTRIBUTE class {close, open}

@DATA
0.9379739, 0.21682931, -0.03302549, 0.9137172, 0.2776991, 0.60857564, -0.051744092, 0.2504144, 1.2532667, 1.2545961, 0.89406854, 1.1730995, -0.05438366, 0.38901928, -0.49189427, -0.01822077, 0.73278916, 0.31084964, 0.29526442, 0.5733146, close
0.9666006, 0.2136349, -0.0398357, 0.966644, 0.2693633, 0.6112283, -0.050968602, 0.25267625, 1.2852603, 1.165717, 0.9000581, 1.2001768, -0.08071841, 0.39520425, -0.49973822, -0.040283974, 0.75246394, 0.33530405, 0.28069082, 0.5698336, close
0.9838191, 0.20040579, -0.045020614, 0.96860206, 0.2565039, 0.6150857, -0.05243366, 0.24687932, 1.3071722, 1.0668308, 0.895677, 1.2168223, -0.10850724, 0.40138388, -0.50079316, -0.054350287, 0.7643181, 0.36040223, 0.2709632, 0.5670473, close
0.98697174, 0.20943685, -0.05706401, 0.95944095, 0.24007092, 0.61817366, -0.05706461, 0.23622191, 1.3201965, 0.96462566, 0.8871434, 1.2254941, -0.13636352, 0.4080096, -0.49872157, -0.058521576, 0.7679878, 0.3792778, 0.26416284, 0.5665486, close
0.9800596, 0.23875298, -0.054501742, 0.9401198, 0.21897815, 0.61912704, -0.06344199, 0.22518691, 1.3255465, 0.87072146, 0.8781449, 1.228589, -0.16171314, 0.41514266, -0.49840295, -0.053718682, 0.7687007, 0.3904449, 0.25752896, 0.5742067, close
0.97437984, 0.24708104, -0.035184003, 0.92642725, 0.19159149, 0.61800396, -0.07031897, 0.21798351, 1.3241558, 0.793699, 0.865357, 1.2271475, -0.18231721, 0.42073205, -0.5043741, -0.04533012, 0.7672271, 0.38953543, 0.25222567, 0.5863716, close
0.96689934, 0.24055946, -0.035184003, 0.9152054, 0.15961643, 0.6164671, -0.076670595, 0.21586291, 1.3151461, 0.7347381, 0.84455925, 1.2195284, -0.1961588, 0.42075235, -0.51776266, -0.037202686, 0.7636952, 0.37363023, 0.2461955, 0.5975731, close
0.96689934, 0.22488977, -0.053213414, 0.9108485, 0.12916179, 0.61892974, -0.083345346, 0.2179271, 1.2958599, 0.68737966, 0.81470823, 1.2024474, -0.20207657, 0.4096848, -0.53580534, -0.033028957, 0.7578477, 0.3395054, 0.23851487, 0.60655683, close
0.96689934, 0.22773819, -0.086712755, 0.90886265, 0.1074868, 0.6277559, -0.09340183, 0.22268139, 1.2679511, 0.6400741, 0.77931803, 1.1761595, -0.19876698, 0.38500455, -0.5534849, -0.035179734, 0.74824643, 0.29421353, 0.22975889, 0.6174427, close
0.96689934, 0.22288755, -0.12912758, 0.9070065, 0.09815866, 0.64233077, -0.10920442, 0.22891043, 1.2380475, 0.5891379, 0.74215025, 1.1469762, -0.18418755, 0.34836835, -0.56735456, -0.04322383, 0.7345585, 0.24514003, 0.22236052, 0.6320836, close
0.96689934, 0.18867792, -0.14743038, 0.9070065, 0.09742807, 0.65906364, -0.12980562, 0.23628542, 1.2140019, 0.53776854, 0.7055995, 1.1229732, -0.1605186, 0.3056646, -0.5774456, -0.053711306, 0.7169034, 0.20745404, 0.21334733, 0.64778036, close
0.9625203, 0.1861889, -0.14761654, 0.9083402, 0.09774336, 0.67402375, -0.15162568, 0.24340332, 1.1998526, 0.49239472, 0.67050713, 1.108811, -0.1347746, 0.26537934, -0.5864418, -0.0620467, 0.6923826, 0.1863208, 0.19444291, 0.6550505, close
0.94831306, 0.20060524, -0.1473323, 0.91863465, 0.09389485, 0.6854042, -0.16855209, 0.2498724, 1.1884652, 0.45124912, 0.63445044, 1.098102, -0.11353301, 0.23352875, -0.5928736, -0.065569595, 0.6630348, 0.1724285, 0.1590004, 0.65015095, close
0.9365142, 0.21500571, -0.1891286, 0.93789315, 0.086885706, 0.6933121, -0.17685853, 0.25568032, 1.1691462, 0.4081029, 0.59579444, 1.0791065, -0.100181125, 0.21251051, -0.592981, -0.06488243, 0.6312005, 0.15143014, 0.10292562, 0.63382816, close
0.94800323, 0.21821795, -0.22982045, 1.0019323, 0.081814215, 0.6997246, -0.17728312, 0.2605733, 1.1371335, 0.36299714, 0.55686855, 1.0447192, -0.09511777, 0.19798353, -0.58591086, -0.06120139, 0.5990913, 0.11475155, 0.027574103, 0.61122096, close
0.96712095, 0.21821795, -0.21001738, 1.051973, 0.08326619, 0.7051405, -0.17591558, 0.26459846, 1.0948524, 0.33436158, 0.5253337, 0.99574584, -0.0952633, 0.18648118, -0.57525396, -0.054095656, 0.574188, 0.06370579, -0.058529347, 0.5921892, close
0.97477925, 0.21821795, -0.1800217, 1.0676551, 0.09351343, 0.7091524, -0.17912422, 0.26750153, 1.0522053, 0.34396958, 0.506766, 0.943424, -0.0974497, 0.17686418, -0.5671985, -0.04243484, 0.5629684, 0.009902755, -0.13280924, 0.58511084, close
0.99411196, 0.21821795, -0.15782245, 1.0820959, 0.11302491, 0.71203, -0.1910072, 0.26741198, 1.0187987, 0.38984716, 0.5012426, 0.9031248, -0.10012245, 0.16744034, -0.566754, -0.025374938, 0.5655706, -0.037569035, -0.16734391, 0.59088016, close
0.9932339, 0.21821795, -0.13521668, 1.0698075, 0.13910992, 0.7152494, -0.2082332, 0.26235583, 0.9983806, 0.441813, 0.50245667, 0.88375336, -0.10363952, 0.15584935, -0.5732023, -0.006913948, 0.5755702, -0.06772633, -0.15492329, 0.604164, close
0.9678646, 0.22427876, -0.12461326, 1.0535465, 0.16680746, 0.72066253, -0.22389995, 0.25129893, 0.9895953, 0.47934458, 0.49822903, 0.88325346, -0.10911853, 0.1400484, -0.58170235, 0.00798062, 0.5843754, -0.08432398, -0.11446776, 0.6171971, close
0.9464795, 0.22451694, -0.12648374, 1.0520923, 0.19005522, 0.7277386, -0.23172505, 0.23463617, 0.9907739, 0.49845743, 0.48415917, 0.8950858, -0.113990895, 0.12253911, -0.58611906, 0.0181363, 0.5875839, -0.08951233, -0.07083429, 0.625237, close
0.9094703, 0.2301469, -0.14067188, 1.0453998, 0.20446041, 0.7343339, -0.23106295, 0.21548636, 0.99849594, 0.50544477, 0.46475357, 0.9131785, -0.11468093, 0.10893437, -0.5841178, 0.023274451, 0.5880849, -0.08172167, -0.03520591, 0.6284709, close
